# Header: Project1::Sample_LC steel::All data::Grain Size   11/22/2023
# 
# Partition Formula: 
# Grain Tolerance Angle: 5.00
# Minimum Grain Size: 2
# Minimum Anti-Grain Size: 2
# Minimum Confidence Index: 0.00
# Multiple Rows Requirement: Off
# Anti-Grain Multiple Rows Requirement: Off
# Column 1: Integer identifying grain. Negative value indicates an anti-grain
# Column 2: An integer identifying the phase (-1 for anti-grains)
#           0 -  Iron (Alpha)
# Column 3-5: Average orientation (phi1, PHI, phi2) in degrees (360, 360, 360 for anti-grains)
# Column 6-7: Average Position (x, y) in microns
# Column 8: Average Image Quality (IQ)
# Column 9: Average Confidence Index (CI, -1 for anti-grains)
# Column 10: Average Fit (degrees, 180 for anti-grains or invalid grains)
# Column 11: Edge grain (1 = touching edge, otherwise 0)
# Column 12: Area of grain in square microns
# Column 13: Diameter of grain in microns
# Column 14: Aspect ratio of ellipse fit to grain
# Column 15: Length of major axis (radius) of ellipse fit to grain in microns
# Column 16: Length of minor axis (radius) of ellipse fit to grain in microns
# Column 17: Orientation (relative to the horizontal) of major axis of ellipse fit to grain in degrees
     1   0  274.396   89.228  283.77 1.300000e+00 1.732051e-01 120831.9  0.699  0.88 1 4.330127e+00 2.348039e+00 0.56 1.607275e+00 9.020762e-01 158.9 
     2   0  292.715  148.510   33.00 2.866337e+00 7.194009e+00 155359.3  0.889  0.68 1 8.746857e+01 1.055312e+01 0.40 8.578073e+00 3.401141e+00 112.3 
     3   0  344.416   66.839  323.66 1.218151e+01 5.368175e+00 119406.7  0.769  0.68 1 1.264397e+02 1.268811e+01 0.57 7.973916e+00 4.565439e+00  24.6 
     4   0  168.302  129.253  313.49 2.232106e+01 3.181504e+00 121765.4  0.831  0.63 1 8.227242e+01 1.023487e+01 0.50 7.000000e+00 3.490267e+00 180.0 
     5   0  182.862   46.491  303.38 3.415085e+01 5.534828e+00 126789.1  0.877  0.60 1 1.550185e+02 1.404905e+01 0.61 8.836477e+00 5.398884e+00 145.1 
     6   0  354.221   52.710  312.16 4.260001e+01 8.660254e-01 109811.0  0.777  0.67 1 1.732051e+01 4.696079e+00 0.32 4.000000e+00 1.271606e+00 180.0 
     7   0  155.022   88.686  329.10 5.538807e+01 1.215021e+00 112882.4  0.793  0.76 1 5.802370e+01 8.595235e+00 0.16 1.000000e+01 1.637044e+00 180.0 
     8   0  163.096   55.676  311.45 7.161114e+01 1.828275e+00 112762.2  0.666  0.72 1 3.897114e+01 7.044118e+00 0.47 5.000000e+00 2.367015e+00 180.0 
     9   0   22.694   55.997  306.69 8.029391e+01 4.504848e+00 132616.3  0.894  0.66 1 9.872689e+01 1.121173e+01 0.68 6.331140e+00 4.311884e+00 161.4 
    10   0  185.202  134.477  233.09 8.950004e+01 1.171681e+00 114315.1  0.828  0.74 1 2.944486e+01 6.122938e+00 0.33 5.000000e+00 1.640393e+00 180.0 
    11   0  115.516  137.181  128.33 9.550000e+01 0.000000e+00 99766.3  0.521  1.29 1 1.732051e+00 1.485031e+00 0.54 1.000000e+00 5.406695e-01 180.0 
    12   0   54.266  165.253   69.70 9.784838e+01 8.323977e+00 135189.7  0.671  0.70 1 1.628128e+02 1.439790e+01 0.53 9.712535e+00 5.107006e+00  72.0 
    13   0  199.100    9.532  297.15 1.068977e+02 1.554909e+00 118444.6  0.784  0.67 1 3.810512e+01 6.965410e+00 0.38 5.500000e+00 2.105701e+00 180.0 
    14   0   38.441   60.149  227.50 1.218189e+02 3.848513e+00 128984.0  0.878  0.47 1 1.697410e+02 1.470105e+01 0.41 1.132475e+01 4.692645e+00 173.4 
    15   0   69.517  124.725  118.86 1.456467e+02 5.833236e+00 136453.5  0.880  0.58 1 3.013768e+02 1.958890e+01 0.43 1.505822e+01 6.493844e+00 168.4 
    16   0    7.826  144.882   24.99 1.682523e+02 3.360814e+00 130126.8  0.772  0.67 1 9.439677e+01 1.096311e+01 0.42 8.431093e+00 3.510920e+00  23.2 
    17   0  273.649   85.243  288.03 1.746429e+02 6.185896e-01 104462.1  0.615  1.09 1 6.062178e+00 2.778238e+00 0.55 1.802776e+00 9.876257e-01 166.1 
    18   0  348.797   82.405  321.61 1.800901e+02 1.262764e+01 124664.1  0.763  0.69 1 2.935826e+02 1.933393e+01 0.44 1.418039e+01 6.256309e+00  99.1 
    19   0  273.765  123.530  238.51 1.855536e+02 1.268109e+00 129783.3  0.884  0.68 1 2.424871e+01 5.556475e+00 0.34 4.500000e+00 1.537235e+00 180.0 
    20   0  114.037  128.324  128.88 2.022688e+02 1.658314e+01 135309.8  0.884  0.64 1 9.967952e+02 3.562526e+01 0.76 2.031215e+01 1.553498e+01  64.5 
    21   0   29.066   60.293  252.17 2.189468e+02 2.155850e+00 116256.8  0.841  0.90 1 4.070319e+01 7.198952e+00 0.46 4.924429e+00 2.274664e+00  15.3 
    22   0  100.857   75.213   29.28 2.250000e+02 1.250926e+00 113043.6  0.771  0.77 1 1.558846e+01 4.455091e+00 0.64 2.645751e+00 1.689835e+00  19.1 
    23   0   12.469   88.450  268.80 2.350206e+02 2.107031e+00 124782.7  0.897  0.64 1 8.400446e+01 1.034204e+01 0.34 9.385272e+00 3.165653e+00 170.3 
    24   0  169.045   35.816  324.29 2.460000e+02 0.000000e+00 99266.6  0.956  0.59 1 2.598076e+00 1.818783e+00 0.37 1.500000e+00 5.477832e-01 180.0 
    25   0  132.555  121.413  324.29 2.554529e+02 9.150457e-01 110655.2  0.765  0.77 1 4.589935e+01 7.644662e+00 0.15 9.759610e+00 1.475830e+00 177.5 
    26   0   27.328   59.225  243.99 2.710597e+02 3.278523e+00 132298.5  0.716  0.76 1 1.091192e+02 1.178706e+01 0.47 8.401389e+00 3.908082e+00 169.1 
    27   0   29.860   57.258  234.15 2.860533e+02 1.234547e+00 123083.3  0.838  0.68 1 4.070319e+01 7.198952e+00 0.24 7.000000e+00 1.693629e+00 180.0 
    28   0    7.055   55.022  319.09 2.964921e+02 1.238773e+01 115321.5  0.858  0.67 1 3.160993e+02 2.006166e+01 0.43 1.521786e+01 6.549545e+00  77.7 
    29   0  270.502  166.884  105.24 3.075314e+02 3.500186e+00 125597.8  0.829  0.69 1 8.313844e+01 1.028859e+01 0.58 6.658329e+00 3.844958e+00  34.3 
    30   0  230.019   46.643  298.05 3.163750e+02 2.165064e-01 107797.7  0.794  0.62 1 1.039230e+01 3.637567e+00 0.14 4.500000e+00 6.320312e-01 180.0 
    31   0  353.178   74.450  310.81 3.302204e+02 5.770711e+00 133294.0  0.794  0.63 1 3.576685e+02 2.134005e+01 0.39 1.678045e+01 6.588099e+00  14.4 
    32   0   93.211   61.951   36.34 3.526633e+02 4.120461e+00 131993.3  0.852  0.67 1 1.645448e+02 1.447429e+01 0.54 1.015300e+01 5.523435e+00 155.7 
    33   0  292.196   77.139  271.56 3.625000e+02 0.000000e+00 98361.0  0.633  1.13 1 1.732051e+00 1.485031e+00 0.54 1.000000e+00 5.406695e-01 180.0 
    34   0   33.768   34.226   27.84 3.653029e+02 4.866818e+00 108390.3  0.812  0.82 1 6.148780e+01 8.848090e+00 0.70 5.131601e+00 3.604584e+00 107.0 
    35   0  170.083   60.134  304.73 3.723468e+02 3.394820e+00 120046.6  0.752  0.64 1 6.495190e+01 9.093917e+00 0.55 5.766281e+00 3.192221e+00  17.5 
    36   0  192.670  124.610  133.13 3.858929e+02 2.350640e+00 126155.3  0.874  0.70 1 9.699484e+01 1.111295e+01 0.30 1.003743e+01 2.979198e+00 175.1 
    37   0   71.345   62.198   52.67 3.970274e+02 4.471325e+00 113601.3  0.791  0.72 1 7.967434e+01 1.007197e+01 0.49 7.000000e+00 3.412503e+00 141.8 
    38   0  248.192   61.981  129.54 4.095664e+02 2.412499e+00 111111.8  0.794  0.64 1 8.487049e+01 1.039521e+01 0.38 8.281506e+00 3.176900e+00 175.0 
    39   0  215.617  168.540   42.23 4.190000e+02 0.000000e+00 81395.6  0.461  1.16 1 2.598076e+00 1.818783e+00 0.37 1.500000e+00 5.477832e-01 180.0 
    40   0    4.116   86.702  269.15 4.205567e+02 5.392570e+00 119240.8  0.827  0.79 1 8.400446e+01 1.034204e+01 0.66 6.110101e+00 4.049401e+00  70.9 
    41   0  248.206   62.108  219.63 4.322615e+02 6.423026e+00 124973.6  0.892  0.47 1 2.286307e+02 1.706170e+01 0.52 1.126943e+01 5.827521e+00 147.5 
    42   0   64.087  113.062  118.98 4.481466e+02 7.689547e+00 113069.2  0.727  0.74 1 2.364249e+02 1.735009e+01 0.30 1.732772e+01 5.185445e+00 148.3 
    43   0   88.114  120.215  141.29 4.786132e+02 1.680502e+00 119449.6  0.864  0.62 1 7.274613e+01 9.624098e+00 0.27 9.278111e+00 2.516432e+00   4.5 
    44   0  109.054  168.143  137.25 4.966579e+02 2.370174e+00 114458.2  0.898  0.77 1 9.872689e+01 1.121173e+01 0.27 1.025914e+01 2.775278e+00 177.6 
    45   0  211.419   60.892  231.68 5.199868e+02 6.517988e+00 135240.7  0.869  0.53 1 3.290897e+02 2.046973e+01 0.37 1.576653e+01 5.886864e+00  10.6 
    46   0   15.821  120.406  319.63 5.415732e+02 3.239427e+00 128941.1  0.911  0.67 1 1.835974e+02 1.528932e+01 0.26 1.450000e+01 3.818186e+00 180.0 
    47   0  279.118   63.196  223.06 5.564841e+02 1.134169e+01 114055.5  0.739  0.66 1 1.619467e+02 1.435956e+01 0.50 9.928914e+00 4.948646e+00  76.9 
    48   0  223.794   60.213  235.55 5.627501e+02 1.855769e-01 100603.8  0.761  0.78 1 1.212436e+01 3.929021e+00 0.11 5.500000e+00 6.320041e-01 180.0 
    49   0   16.803  109.956  305.44 5.804999e+02 8.707890e+00 132742.1  0.924  0.50 1 3.464102e+02 2.100150e+01 0.49 1.533243e+01 7.481214e+00  44.2 
    50   0  268.040   99.879  211.91 5.907247e+02 2.315292e+00 109829.4  0.758  0.77 1 4.243525e+01 7.350526e+00 0.59 4.582576e+00 2.715497e+00 169.1 
    51   0   10.353   55.550  235.50 6.017639e+02 8.118604e+00 118196.3  0.715  0.75 1 2.381570e+02 1.741353e+01 0.60 1.088960e+01 6.577291e+00 135.4 
    52   0  352.416   59.742  306.90 6.028055e+02 3.367877e-01 111426.2  0.792  0.67 1 1.558846e+01 4.455091e+00 0.14 5.500000e+00 7.655327e-01 180.0 
    53   0   77.111  121.966   32.37 6.137830e+02 2.522769e+00 113288.2  0.831  0.74 1 3.983717e+01 7.121956e+00 0.45 5.220153e+00 2.339052e+00  35.5 
    54   0  338.222   48.920  233.55 6.261847e+02 4.996594e+00 124205.4  0.858  0.68 1 1.991858e+02 1.592518e+01 0.54 1.040833e+01 5.587334e+00 163.9 
    55   0  109.495  127.684  124.68 6.447327e+02 6.868577e+00 141660.7  0.921  0.54 1 2.641378e+02 1.833877e+01 0.63 1.153256e+01 7.321651e+00  42.5 
    56   0  127.164   47.649  138.20 6.581833e+02 2.851548e+00 117750.6  0.869  0.59 1 7.101408e+01 9.508835e+00 0.55 6.244998e+00 3.451189e+00  16.1 
    57   0  259.113  128.612   66.35 6.701205e+02 1.234888e+00 126563.9  0.747  0.83 1 4.676537e+01 7.716444e+00 0.23 8.046739e+00 1.820324e+00 173.8 
    58   0  268.095   93.777  270.93 6.829645e+02 1.484615e+00 134865.1  0.895  0.72 1 2.424871e+01 5.556475e+00 0.48 3.818813e+00 1.837101e+00  10.9 
    59   0   59.094   44.248  244.41 6.906484e+02 1.892426e+00 120528.5  0.814  0.66 1 4.676537e+01 7.716444e+00 0.41 5.965177e+00 2.468920e+00 164.6 
    60   0  251.982   69.689   40.57 7.016907e+02 2.460612e+00 120120.6  0.638  0.86 1 5.455960e+01 8.334713e+00 0.47 5.766281e+00 2.699547e+00  17.5 
    61   0  297.336   82.036   17.27 7.194504e+02 7.303018e+00 129898.5  0.920  0.57 1 3.221614e+02 2.025311e+01 0.45 1.486887e+01 6.741196e+00  29.0 
    62   0    3.795   39.247  329.80 7.344014e+02 4.644542e+00 113753.0  0.667  0.94 1 1.359660e+02 1.315740e+01 0.50 1.021029e+01 5.110450e+00 137.3 
    63   0  175.049   48.486  284.73 7.541580e+02 1.823211e-01 112173.6  0.715  0.62 1 1.645448e+01 4.577171e+00 0.08 7.500000e+00 6.147188e-01 180.0 
    64   0   49.472  114.597   53.70 7.659493e+02 1.386109e+01 120395.0  0.816  0.80 1 3.204294e+02 2.019860e+01 0.57 1.418039e+01 8.040195e+00 159.1 
    65   0  121.350   93.705  165.36 7.709692e+02 3.910507e+00 110350.4  0.823  0.74 1 8.400446e+01 1.034204e+01 0.54 6.946222e+00 3.748568e+00  34.1 
    66   0  298.630  132.404   41.20 7.788713e+02 4.050765e+00 129967.0  0.900  0.63 1 5.369357e+01 8.268300e+00 0.63 4.804512e+00 3.025537e+00 171.4 
    67   0  184.480  101.732  306.12 7.893002e+02 2.532094e+00 144669.6  0.858  0.64 1 9.093266e+01 1.076007e+01 0.35 9.013878e+00 3.131582e+00  13.9 
    68   0  174.095  132.214  213.00 8.063846e+02 4.036798e+00 130771.4  0.888  0.75 1 1.610807e+02 1.432112e+01 0.58 9.987493e+00 5.765450e+00  25.7 
    69   0  194.857  102.919  329.31 8.226433e+02 1.076519e+01 132066.4  0.901  0.60 1 3.117691e+02 1.992377e+01 0.49 1.376893e+01 6.693272e+00  57.0 
    70   0  324.652  125.719  335.43 8.304573e+02 2.177436e+00 97286.4  0.656  0.80 1 3.031089e+01 6.212328e+00 0.52 3.968627e+00 2.067465e+00  19.1 
    71   0  335.722   96.880  339.72 8.354725e+02 1.202813e+00 114690.5  0.715  0.71 1 1.558846e+01 4.455091e+00 0.51 3.041381e+00 1.559295e+00  25.3 
    72   0  343.878  145.016   37.55 8.385834e+02 1.587713e+00 106615.2  0.554  0.92 1 5.196152e+00 2.572148e+00 0.52 1.802776e+00 9.284991e-01  46.1 
    73   0  248.233   69.902  262.66 8.428501e+02 2.121762e+00 122381.1  0.702  0.68 1 3.464101e+01 6.641258e+00 0.70 4.092676e+00 2.884585e+00  12.2 
    74   0  261.270  134.956  100.20 8.492842e+02 6.548962e+00 117739.1  0.770  0.67 1 1.325019e+02 1.298871e+01 0.55 8.544003e+00 4.675660e+00 125.8 
    75   0  309.605  126.685  235.27 8.705243e+02 1.828220e+01 140217.5  0.912  0.58 1 1.027106e+03 3.616285e+01 0.60 2.437383e+01 1.468282e+01  65.8 
    76   0  282.638  111.007   95.51 8.859231e+02 5.329388e-01 140996.3  0.821  0.89 1 1.125833e+01 3.786100e+00 0.25 3.500000e+00 8.620616e-01 180.0 
    77   0   16.842   90.681  294.92 8.910843e+02 3.338894e+00 131066.3  0.853  0.70 1 7.188010e+01 9.566640e+00 0.48 7.112196e+00 3.416731e+00 156.1 
    78   0  304.433  139.807   48.11 8.991875e+02 9.742786e-01 122275.6  0.871  0.72 1 6.928203e+00 2.970061e+00 0.71 1.802776e+00 1.286284e+00  46.1 
    79   0  109.928  114.996  331.55 4.519794e+01 7.198835e+00 117865.7  0.826  0.58 0 8.313844e+01 1.028859e+01 0.50 7.076958e+00 3.551847e+00  92.0 
    80   0   85.106  144.866   91.93 6.318597e+01 7.779908e+00 121750.1  0.787  0.57 0 1.047891e+02 1.155083e+01 0.62 8.036375e+00 4.982903e+00  98.9 
    81   0  173.189   65.543  316.99 3.945544e+00 5.541707e+01 127274.2  0.820  0.58 1 8.746857e+01 1.055312e+01 0.44 7.588369e+00 3.314057e+00  68.8 
    82   0  116.152  106.251  156.87 7.535715e+00 5.004391e+01 113064.7  0.780  0.77 0 7.274613e+01 9.624098e+00 0.40 7.588369e+00 3.027699e+00  68.8 
    83   0   77.141   58.734  231.86 1.388218e+01 4.163392e+01 124935.4  0.606  0.78 0 3.013768e+02 1.958890e+01 0.48 1.405643e+01 6.716867e+00  84.9 
    84   0   92.490  113.876  259.83 3.230587e+01 4.753483e+01 146494.2  0.808  0.84 0 6.131460e+02 2.794068e+01 0.53 1.853600e+01 9.752831e+00 123.6 
    85   0  161.172   98.417  336.62 5.014285e+01 5.535067e+01 124677.2  0.784  0.64 0 2.000519e+02 1.595976e+01 0.57 1.021437e+01 5.870998e+00  81.6 
    86   0   82.516  138.382    7.82 5.959784e+01 3.896926e+01 122640.7  0.790  0.65 0 3.940416e+02 2.239887e+01 0.52 1.550269e+01 8.094608e+00  99.3 
    87   0   61.230  146.233   89.32 6.313047e+01 5.493617e+01 111725.9  0.814  0.61 0 7.967434e+01 1.007197e+01 0.44 7.571877e+00 3.300334e+00 142.4 
    88   0  300.250   92.794   13.25 7.106525e+01 4.706660e+01 117628.3  0.796  0.77 0 3.983717e+01 7.121956e+00 0.66 4.310840e+00 2.856848e+00  69.6 
    89   0   20.676  135.159   50.89 6.659539e+01 6.725169e+01 127360.2  0.775  0.87 0 5.403998e+02 2.623087e+01 0.42 1.985783e+01 8.412958e+00 109.1 
    90   0  234.148   53.413  225.63 8.427444e+01 2.773523e+01 127026.8  0.800  0.61 0 3.013768e+02 1.958890e+01 0.20 2.379251e+01 4.731501e+00 107.7 
    91   0  349.634   90.394  345.32 9.012370e+01 4.474519e+01 139937.6  0.901  0.59 0 4.659217e+02 2.435631e+01 0.47 1.738774e+01 8.090533e+00 101.6 
    92   0   76.366  113.688  234.32 1.030455e+02 5.398228e+01 118073.0  0.691  0.84 0 8.573651e+01 1.044812e+01 0.49 7.421816e+00 3.650826e+00  72.4 
    93   0  157.828   16.493  328.80 1.129434e+02 5.235369e+01 107261.8  0.819  0.84 0 4.589935e+01 7.644662e+00 0.43 5.773502e+00 2.460731e+00  30.0 
    94   0  110.051   14.625  196.78 1.189283e+02 4.319833e+01 128459.5  0.896  0.60 0 2.113102e+02 1.640270e+01 0.68 9.751069e+00 6.585278e+00  82.6 
